City,ISO3,country,country_num,year,population,GDP_USD,gdp_per_capita,home_adv,tot_gold,tot_silver,tot_bronze,tot_medals,last_medals,secondLast_medals
Sydney,TTO,Trinidad & Tobago,180,2000,1267984,8154338233,6430,0,0,1,1,2,2,0
Athina,TTO,Trinidad & Tobago,180,2004,1290535,13280275123,10290,0,0,0,1,1,2,2
Beijing,TTO,Trinidad & Tobago,180,2008,1315372,27870257894,21188,0,1,1,0,2,1,2
London,TTO,Trinidad & Tobago,180,2012,1341588,25694164489,19152,0,1,1,2,4,2,1
Rio de Janeiro,TTO,Trinidad & Tobago,180,2016,1364962,21894706041,16040,0,0,0,1,1,4,2
Seoul,TUN,Tunisia,181,1988,7871459,10096292842,1282,0,0,0,0,0,0,0
Barcelona,TUN,Tunisia,181,1992,8603225,15497286296,1801,0,0,0,0,0,0,0
Atlanta,TUN,Tunisia,181,1996,9256037,19587322786,2116,0,0,0,1,1,0,0
Sydney,TUN,Tunisia,181,2000,9699197,21473188882,2213,0,0,0,0,0,1,0
Athina,TUN,Tunisia,181,2004,10017601,31183139301,3112,0,0,0,0,0,0,1
Beijing,TUN,Tunisia,181,2008,10407336,44856586316,4310,0,1,0,0,1,0,0
London,TUN,Tunisia,181,2012,10886668,45044112939,4137,0,1,1,1,3,1,0
Rio de Janeiro,TUN,Tunisia,181,2016,11403248,42062549395,3688,0,0,0,3,3,3,1
Montreal,TUR,Turkey,182,1976,40189511,51280134554,1275,0,0,0,0,0,1,2
Los Angeles,TUR,Turkey,182,1984,48114105,59989909458,1246,0,0,0,3,3,0,1
Seoul,TUR,Turkey,182,1988,52053704,90852814005,1745,0,1,1,0,2,3,0
Barcelona,TUR,Turkey,182,1992,55748875,158459130435,2842,0,2,2,2,6,2,3
Atlanta,TUR,Turkey,182,1996,59423208,181475555283,3053,0,4,1,1,6,6,2
Sydney,TUR,Turkey,182,2000,63240121,272979390595,4316,0,3,0,2,5,6,6
Athina,TUR,Turkey,182,2004,67007855,404786740091,6040,0,3,3,5,11,5,6
Beijing,TUR,Turkey,182,2008,70440032,764335657318,10850,0,1,3,3,7,11,5
London,TUR,Turkey,182,2012,74569867,873981786532,11720,0,2,2,1,5,7,11
Rio de Janeiro,TUR,Turkey,182,2016,79512426,863711710427,10862,0,1,3,4,8,5,7
London,TKM,Turkmenistan,183,2012,5267839,35164210526,6675,0,0,0,0,0,0,0
Rio de Janeiro,TKM,Turkmenistan,183,2016,5662544,36179885714,6389,0,0,0,0,0,0,0
Seoul,VIR,U.S. Virgin Islands,185,1988,104500,1204600064,11527,0,0,1,0,1,0,0
Barcelona,VIR,U.S. Virgin Islands,185,1992,105711,1770899968,16752,0,0,0,0,0,1,0
Athina,VIR,U.S. Virgin Islands,185,2004,107950,3799e6,35192,0,0,0,0,0,0,1
Beijing,VIR,U.S. Virgin Islands,185,2008,107091,425e7,39685,0,0,0,0,0,0,0
London,VIR,U.S. Virgin Islands,185,2012,105275,4095e6,38898,0,0,0,0,0,0,0
Moskva,UGA,Uganda,186,1980,12549540,124461e4,99,0,0,1,0,1,2,2
Los Angeles,UGA,Uganda,186,1984,14174470,3615647477,255,0,0,0,0,0,1,2
Seoul,UGA,Uganda,186,1988,16262533,6508931652,400,0,0,0,0,0,0,1
Barcelona,UGA,Uganda,186,1992,18652889,2857457860,153,0,0,0,0,0,0,0
Atlanta,UGA,Uganda,186,1996,21202118,6044585327,285,0,0,0,1,1,0,0
Sydney,UGA,Uganda,186,2000,24039274,6193246837,257,0,0,0,0,0,1,0
Athina,UGA,Uganda,186,2004,27568436,7940362799,288,0,0,0,0,0,0,1
Beijing,UGA,Uganda,186,2008,31663896,14239026630,449,0,0,0,0,0,0,0
London,UGA,Uganda,186,2012,36306796,23132149257,637,0,1,0,0,1,0,0
Rio de Janeiro,UGA,Uganda,186,2016,41487965,24078931933,580,0,0,0,0,0,1,0
London,UKR,Ukraine,187,2012,45593300,175781379051,3855,0,6,5,9,20,27,22
Rio de Janeiro,UKR,Ukraine,187,2016,45004645,93270479389,2072,0,2,5,4,11,20,27
Sydney,ARE,United Arab Emirates,188,2000,3154925,104337372362,33071,0,0,0,0,0,0,0
Athina,ARE,United Arab Emirates,188,2004,4087931,147824370320,36161,0,1,0,0,1,0,0
Beijing,ARE,United Arab Emirates,188,2008,6894278,315474615739,45758,0,0,0,0,0,1,0
London,ARE,United Arab Emirates,188,2012,8900453,374817974105,42112,0,0,0,0,0,0,1
Rio de Janeiro,ARE,United Arab Emirates,188,2016,9269612,348743265705,37622,0,0,0,1,1,0,0
Montreal,GBR,United Kingdom,189,1976,56211968,232614555256,4138,0,3,5,5,13,18,13
Moskva,GBR,United Kingdom,189,1980,56314216,564947710899,10032,0,5,7,9,21,13,18
Los Angeles,GBR,United Kingdom,189,1984,56422072,461487097632,8179,0,5,11,21,37,21,13
Seoul,GBR,United Kingdom,189,1988,56928327,910122732124,15987,0,5,10,9,24,37,21
Barcelona,GBR,United Kingdom,189,1992,57580402,1179659529660,20487,0,5,3,12,20,24,37
Atlanta,GBR,United Kingdom,189,1996,58166950,1408781591264,24219,0,1,8,6,15,20,24
Sydney,GBR,United Kingdom,189,2000,58892514,1647951278560,27982,0,11,10,7,28,15,20
Athina,GBR,United Kingdom,189,2004,59987905,2398555474185,39983,0,9,9,12,30,28,15
Beijing,GBR,United Kingdom,189,2008,61806995,2890564338235,46767,0,19,13,16,48,30,28
London,GBR,United Kingdom,189,2012,63700300,2662085168499,41790,1,29,17,19,65,48,30
Rio de Janeiro,GBR,United Kingdom,189,2016,65637239,2647898654635,40341,0,27,23,17,67,65,48
Montreal,USA,United States,190,1976,218035e3,1877587e6,8611,0,34,35,25,94,94,107
Los Angeles,USA,United States,190,1984,235825e3,4040693e6,17134,1,83,61,30,174,94,94
Seoul,USA,United States,190,1988,244499e3,5252629e6,21483,0,36,31,27,94,174,94
Barcelona,USA,United States,190,1992,256514e3,6539299e6,25492,0,37,34,37,108,94,174
Atlanta,USA,United States,190,1996,269394e3,8100201e6,30068,1,44,32,25,101,108,94
Sydney,USA,United States,190,2000,282162411,10284779e6,36449,0,37,24,32,93,101,108
Athina,USA,United States,190,2004,292805298,12274928e6,41921,0,36,39,26,101,93,101
Beijing,USA,United States,190,2008,304093966,14718582e6,48401,0,36,39,35,110,101,93
London,USA,United States,190,2012,313998379,16155255e6,51450,0,46,28,29,103,110,101
Rio de Janeiro,USA,United States,190,2016,323127513,18624475e6,57638,0,46,37,38,121,103,110
Montreal,URY,Uruguay,191,1976,2841429,3667161241,1290,0,0,0,0,0,0,0
Los Angeles,URY,Uruguay,191,1984,2992645,4850241442,1620,0,0,0,0,0,0,0
Seoul,URY,Uruguay,191,1988,3069099,8213515459,2676,0,0,0,0,0,0,0
Barcelona,URY,Uruguay,191,1992,3154855,12878157306,4082,0,0,0,0,0,0,0
Atlanta,URY,Uruguay,191,1996,3248035,20515465834,6316,0,0,0,0,0,0,0
Sydney,URY,Uruguay,191,2000,3321245,22823255802,6871,0,0,1,0,1,0,0
Athina,URY,Uruguay,191,2004,3324096,13686329890,4117,0,0,0,0,0,1,0
Beijing,URY,Uruguay,191,2008,3350824,30366213095,9062,0,0,0,0,0,0,1
London,URY,Uruguay,191,2012,3396777,51264390121,15092,0,0,0,0,0,0,0
Rio de Janeiro,URY,Uruguay,191,2016,3444006,52419720714,15220,0,0,0,0,0,0,0
London,UZB,Uzbekistan,192,2012,29774500,51821573338,1740,0,1,0,2,3,6,5
Rio de Janeiro,UZB,Uzbekistan,192,2016,31848200,67220335570,2110,0,4,2,7,13,3,6
Athina,VUT,Vanuatu,193,2004,204143,364996869,1787,0,0,0,0,0,0,0
Beijing,VUT,Vanuatu,193,2008,225340,607958616,2697,0,0,0,0,0,0,0
London,VUT,Vanuatu,193,2012,247485,781702874,3158,0,0,0,0,0,0,0
Rio de Janeiro,VUT,Vanuatu,193,2016,270402,773502896,2860,0,0,0,0,0,0,0
Montreal,VEN,Venezuela,194,1976,13739142,36187023256,2633,0,0,1,0,1,0,1
Moskva,VEN,Venezuela,194,1980,15343916,67018023256,4367,0,0,1,0,1,1,0
Los Angeles,VEN,Venezuela,194,1984,17057785,560919e5,3288,0,0,0,3,3,1,1
Seoul,VEN,Venezuela,194,1988,18912526,58428406897,3089,0,0,0,0,0,3,1
Barcelona,VEN,Venezuela,194,1992,20799075,58450099415,2810,0,0,0,0,0,0,3
Atlanta,VEN,Venezuela,194,1996,22650102,68263823149,3013,0,0,0,0,0,0,0
Sydney,VEN,Venezuela,194,2000,24488340,117140723529,4783,0,0,0,0,0,0,0
Athina,VEN,Venezuela,194,2004,26327225,112453382330,4271,0,0,0,2,2,0,0
Beijing,VEN,Venezuela,194,2008,28141701,315953388511,11227,0,0,0,1,1,2,0
London,VEN,Venezuela,194,2012,29893080,381286237848,12755,0,1,0,0,1,1,2
Athina,VNM,Vietnam,195,2004,81436400,45427854693,557,0,0,0,0,0,1,0
Beijing,VNM,Vietnam,195,2008,85118700,99130304099,1164,0,0,1,0,1,0,1
London,VNM,Vietnam,195,2012,88809200,155820001920,1754,0,0,0,0,0,1,0
Rio de Janeiro,VNM,Vietnam,195,2016,92701100,205276172135,2214,0,1,1,0,2,0,1
Beijing,YEM,Yemen,196,2008,22356391,26910851362,1203,0,0,0,0,0,0,0
London,YEM,Yemen,196,2012,24909969,35393148127,1420,0,0,0,0,0,0,0
Rio de Janeiro,YEM,Yemen,196,2016,27584213,27317605346,990,0,0,0,0,0,0,0
Los Angeles,ZMB,Zambia,197,1984,6738765,2739444444,406,0,0,0,1,1,0,0
Seoul,ZMB,Zambia,197,1988,7600072,3713614458,488,0,0,0,0,0,1,0
Barcelona,ZMB,Zambia,197,1992,8452275,3181921788,376,0,0,0,0,0,0,1
Atlanta,ZMB,Zambia,197,1996,9394304,3597220962,382,0,0,1,0,1,0,0
Sydney,ZMB,Zambia,197,2000,10531221,3600683040,341,0,0,0,0,0,1,0
Athina,ZMB,Zambia,197,2004,11731746,6221077675,530,0,0,0,0,0,0,1
Beijing,ZMB,Zambia,197,2008,13082517,17910858638,1369,0,0,0,0,0,0,0
London,ZMB,Zambia,197,2012,14699937,25503370699,1734,0,0,0,0,0,0,0
Rio de Janeiro,ZMB,Zambia,197,2016,16591390,21063989683,1269,0,0,0,0,0,0,0
Seoul,ZWE,Zimbabwe,198,1988,9604302,7814784100,813,0,0,0,0,0,0,1
Barcelona,ZWE,Zimbabwe,198,1992,10682868,6751472200,631,0,0,0,0,0,0,0
Atlanta,ZWE,Zimbabwe,198,1996,11518262,8553146600,742,0,0,0,0,0,0,0
Sydney,ZWE,Zimbabwe,198,2000,12222251,6689957600,547,0,0,0,0,0,0,0
Athina,ZWE,Zimbabwe,198,2004,12777511,5805598400,454,0,1,1,1,3,0,0
Beijing,ZWE,Zimbabwe,198,2008,13558469,4415702800,325,0,1,3,0,4,3,0
London,ZWE,Zimbabwe,198,2012,14710826,14242490252,968,0,0,0,0,0,4,3
Rio de Janeiro,ZWE,Zimbabwe,198,2016,16150362,16619960402,1029,0,0,0,0,0,0,4
