,City,ISO3,country,country_num,year,population,GDP_USD,gdp_per_capita,home_adv,tot_gold,tot_silver,tot_bronze,tot_medals,last_medals,secondLast_medals,predictions_gold,predictions_silver,predictions_bronze
338,Rio de Janeiro,COG,Congo - Brazzaville,43,2016,5125821.0,7833508879.0,1528,0,0,0,0,0,0,0,0.0,0.0,0.0
346,Rio de Janeiro,COD,Congo - Kinshasa,44,2016,78736153.0,31930856402.0,405,0,0,0,0,0,0,0,0.0,0.0,0.0
358,Rio de Janeiro,CRI,Costa Rica,45,2016,4857274.0,57435507212.0,11824,0,0,0,0,0,0,0,0.0,0.0,0.0
369,Rio de Janeiro,CIV,Côte d’Ivoire,46,2016,23695919.0,36372613023.0,1534,0,1,0,1,2,0,0,0.0,0.0,0.0
373,Rio de Janeiro,HRV,Croatia,47,2016,4170600.0,50714957391.0,12160,0,5,3,2,10,6,5,3.0,1.0,2.0
388,Rio de Janeiro,CYP,Cyprus,49,2016,1170125.0,20047013274.0,17132,0,0,0,0,0,1,0,0.0,1.0,1.0
393,Rio de Janeiro,CZE,Czechia,50,2016,10561633.0,195305084919.0,18491,0,1,2,7,10,10,6,12.0,8.0,7.0
406,Rio de Janeiro,DNK,Denmark,51,2016,5731118.0,306899653410.0,53549,0,2,6,7,15,9,7,2.0,1.0,3.0
414,Rio de Janeiro,DMA,Dominica,53,2016,73543.0,581484032.0,7906,0,0,0,0,0,0,0,0.0,0.0,0.0
426,Rio de Janeiro,DOM,Dominican Republic,54,2016,10648791.0,71583553488.0,6722,0,0,0,1,1,2,2,0.0,0.0,0.0
437,Rio de Janeiro,ECU,Ecuador,55,2016,16385068.0,98613972000.0,6018,0,0,0,0,0,0,1,0.0,0.0,0.0
447,Rio de Janeiro,EGY,Egypt,56,2016,95688681.0,332791045964.0,3477,0,0,0,3,3,2,1,1.0,1.0,4.0
456,Rio de Janeiro,SLV,El Salvador,57,2016,6344722.0,26797470000.0,4223,0,0,0,0,0,0,0,0.0,0.0,0.0
463,Rio de Janeiro,GNQ,Equatorial Guinea,58,2016,1221490.0,10684804794.0,8747,0,0,0,0,0,0,0,0.0,0.0,0.0
467,Rio de Janeiro,EST,Estonia,59,2016,1316481.0,23337907619.0,17727,0,0,0,1,1,2,2,0.0,0.0,1.0
472,Rio de Janeiro,ETH,Ethiopia,60,2016,102403196.0,72374224249.0,706,0,1,2,5,8,7,7,3.0,1.0,3.0
483,Rio de Janeiro,FJI,Fiji,61,2016,898760.0,4703632978.0,5233,0,1,0,0,1,0,0,0.0,0.0,0.0
496,Rio de Janeiro,FIN,Finland,62,2016,5495096.0,238502900312.0,43402,0,0,0,1,1,3,4,0.0,2.0,2.0
509,Rio de Janeiro,FRA,France,63,2016,66896109.0,2465453975282.0,36854,0,10,18,14,42,35,41,11.0,9.0,13.0
517,Rio de Janeiro,GAB,Gabon,64,2016,1979786.0,14213558130.0,7179,0,0,0,0,0,1,0,0.0,1.0,0.0
524,Rio de Janeiro,GMB,Gambia,65,2016,2038501.0,964599178.0,473,0,0,0,0,0,0,0,0.0,0.0,0.0
528,Rio de Janeiro,GEO,Georgia,66,2016,3719300.0,14378016729.0,3865,0,2,1,4,7,7,6,2.0,1.0,6.0
538,Rio de Janeiro,DEU,Germany,67,2016,82667685.0,3477796274497.0,42069,0,17,10,15,42,44,41,11.0,19.0,14.0
549,Rio de Janeiro,GHA,Ghana,68,2016,28206728.0,42689783734.0,1513,0,0,0,0,0,0,0,0.0,0.0,0.0
562,Rio de Janeiro,GRC,Greece,69,2016,10746740.0,192690813127.0,17930,0,3,1,2,6,2,4,0.0,2.0,0.0
569,Rio de Janeiro,GRD,Grenada,70,2016,107317.0,1056188593.0,9841,0,0,1,0,1,1,0,0.0,0.0,0.0
571,Rio de Janeiro,GUM,Guam,71,2016,162896.0,5793000000.0,35562,0,0,0,0,0,0,0,0.0,0.0,0.0
